field,"Agricultural, Veterinary and Food Sciences",Biological Sciences,Biomedical and Clinical Sciences,Built Environment and Design,Chemical Sciences,"Commerce, Management, Tourism and Services",Creative Arts and Writing,Earth Sciences,Economics,Education,Engineering,Environmental Sciences,Health Sciences,"History, Heritage and Archaeology",Human Society,Indigenous Studies,Information and Computing Sciences,"Language, Communication and Culture",Law and Legal Studies,Mathematical Sciences,Philosophy and Religious Studies,Physical Sciences,Psychology,Total
New South Wales,182386,267676,1089414,73555,87695,161639,40919,86811,85354,98623,513468,117559,587197,42399,191655,73685,193224,67904,77231,54595,28454,154332,122500,4398274
Victoria,136537,321257,1008350,92104,107712,124486,33707,71813,96222,112985,510555,110163,456664,30988,187661,36342,217583,63383,42517,57199,21919,95971,156320,4092439
Queensland,189667,243490,443752,31333,79735,85798,17589,41573,37665,62711,250156,140247,221866,11496,87179,33733,70654,35115,28444,28536,8125,46265,77240,2272368
South Australia,45757,103877,265065,11502,33819,42346,6695,20813,10445,14697,87447,30163,118140,8854,27462,31042,31653,6988,6499,8142,1692,12686,20421,946204
Western Australia,53505,75184,301736,32375,22620,31816,9381,70806,14166,32207,142782,67382,74151,2574,23274,39219,27375,10467,2901,20411,9962,23695,18615,1106604
Tasmania,27562,21896,27711,2261,3615,9206,2615,16923,4216,12732,9990,16607,23147,3326,13266,2430,3649,3501,3360,1403,1655,1272,4240,216583
Northern Territory,3961,5302,4640,220,335,2624,785,2197,840,5669,5349,26389,14032,139,10623,5339,2761,498,2185,19,41,252,4211,98412
Australian Capital Territory,8576,49128,82342,3383,16449,10728,3178,38731,25965,18704,130724,22110,44581,9086,102319,35808,83727,23156,24030,6303,2615,106847,11043,859533
Total,647952,1087808,3223010,246733,351981,468643,114870,349667,274873,358328,1650471,530621,1539778,108864,643439,257597,630626,211012,187166,176608,74463,441320,414589,13990418
