State,Field,Money,,,,,,,,,,,,,,,,,,,,,,
South Australia,Education,14697,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Education,32207,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Education,12732,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Education,5669,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Education,18704,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Engineering,513468,,,,,,,,,,,,,,,,,,,,,,
Victoria,Engineering,510555,,,,,,,,,,,,,,,,,,,,,,
Queensland,Engineering,250156,,,,,,,,,,,,,,,,,,,,,,
South Australia,Engineering,87447,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Engineering,142782,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Engineering,9990,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Engineering,5349,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Engineering,130724,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Environmental Sciences,117559,,,,,,,,,,,,,,,,,,,,,,
Victoria,Environmental Sciences,110163,,,,,,,,,,,,,,,,,,,,,,
Queensland,Environmental Sciences,140247,,,,,,,,,,,,,,,,,,,,,,
South Australia,Environmental Sciences,30163,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Environmental Sciences,67382,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Environmental Sciences,16607,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Environmental Sciences,26389,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Environmental Sciences,22110,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Health Sciences,587197,,,,,,,,,,,,,,,,,,,,,,
Victoria,Health Sciences,456664,,,,,,,,,,,,,,,,,,,,,,
Queensland,Health Sciences,221866,,,,,,,,,,,,,,,,,,,,,,
South Australia,Health Sciences,118140,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Health Sciences,74151,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Health Sciences,23147,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Health Sciences,14032,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Health Sciences,44581,,,,,,,,,,,,,,,,,,,,,,
New South Wales,"History, Heritage and Archaeology",42399,,,,,,,,,,,,,,,,,,,,,,
Victoria,"History, Heritage and Archaeology",30988,,,,,,,,,,,,,,,,,,,,,,
Queensland,"History, Heritage and Archaeology",11496,,,,,,,,,,,,,,,,,,,,,,
South Australia,"History, Heritage and Archaeology",8854,,,,,,,,,,,,,,,,,,,,,,
Western Australia,"History, Heritage and Archaeology",2574,,,,,,,,,,,,,,,,,,,,,,
Tasmania,"History, Heritage and Archaeology",3326,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,"History, Heritage and Archaeology",139,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,"History, Heritage and Archaeology",9086,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Human Society,191655,,,,,,,,,,,,,,,,,,,,,,
Victoria,Human Society,187661,,,,,,,,,,,,,,,,,,,,,,
Queensland,Human Society,87179,,,,,,,,,,,,,,,,,,,,,,
South Australia,Human Society,27462,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Human Society,23274,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Human Society,13266,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Human Society,10623,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Human Society,102319,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Indigenous Studies,73685,,,,,,,,,,,,,,,,,,,,,,
